Round,Train Loss,Accuracy
0,1.22,10.04
1,1.08,10.05
2,1.01,10.16
3,0.97,10.0
4,0.95,10.0
5,0.93,10.0
6,0.91,10.0
7,0.92,10.01
8,0.91,10.07
9,0.91,10.09
10,0.9,10.26
11,0.91,10.85
12,0.89,10.59
13,0.89,12.0
14,0.89,13.38
15,0.89,13.97
16,0.87,14.29
17,0.87,15.73
18,0.86,16.69
19,0.86,17.0
20,0.86,18.07
21,0.83,18.55
22,0.84,19.5
23,0.84,19.86
24,0.82,20.66
25,0.82,20.69
26,0.81,21.8
27,0.8,22.05
28,0.79,21.96
29,0.78,23.06
30,0.77,23.75
31,0.77,24.18
32,0.74,24.2
33,0.76,24.87
34,0.74,25.13
35,0.74,25.8
36,0.76,26.8
37,0.74,26.65
38,0.73,27.06
39,0.72,26.19
40,0.71,27.3
41,0.72,27.62
42,0.72,28.03
43,0.71,27.58
44,0.69,28.22
45,0.7,28.24
46,0.69,28.76
47,0.7,29.13
48,0.7,28.72
49,0.69,28.96
50,0.68,29.34
51,0.68,29.62
52,0.67,29.66
53,0.67,29.78
54,0.67,29.99
55,0.67,29.61
56,0.66,29.99
57,0.66,30.24
58,0.67,30.71
59,0.66,30.3
60,0.67,30.4
61,0.66,30.61
62,0.65,31.12
63,0.65,30.86
64,0.65,30.93
65,0.65,31.38
66,0.65,31.3
67,0.66,31.57
68,0.65,31.72
69,0.64,31.47
70,0.64,31.54
71,0.64,31.91
72,0.66,31.66
73,0.65,32.05
74,0.64,31.85
75,0.63,32.09
76,0.64,32.41
77,0.63,32.17
78,0.62,32.64
79,0.63,32.1
80,0.62,32.16
81,0.63,32.59
82,0.65,32.74
83,0.62,32.62
84,0.62,32.69
85,0.64,32.68
86,0.62,32.16
87,0.63,32.55
88,0.61,32.52
89,0.61,32.85
90,0.6,32.8
91,0.6,32.8
92,0.61,33.16
93,0.62,33.14
94,0.62,33.11
95,0.6,33.2
96,0.6,33.42
97,0.6,33.6
98,0.61,33.79
99,0.61,33.75
100,0.6,33.66
101,0.59,33.8
102,0.59,33.86
103,0.59,33.84
104,0.59,34.06
105,0.6,33.81
106,0.58,33.99
107,0.59,33.95
108,0.59,33.92
109,0.58,34.37
110,0.58,33.99
111,0.58,34.5
112,0.57,34.07
113,0.56,34.66
114,0.56,34.5
115,0.57,34.32
116,0.56,34.44
117,0.57,34.69
118,0.6,34.74
119,0.57,34.81
120,0.56,34.8
121,0.57,34.8
122,0.57,35.34
123,0.55,35.19
124,0.56,35.42
125,0.57,35.2
126,0.55,35.35
127,0.55,35.59
128,0.55,35.72
129,0.54,35.42
130,0.55,35.46
131,0.53,35.39
132,0.54,35.44
133,0.55,35.67
134,0.53,35.59
135,0.56,35.75
136,0.54,35.87
137,0.54,35.64
138,0.53,35.55
139,0.54,35.88
140,0.51,35.84
141,0.53,35.83
142,0.54,35.99
143,0.52,35.89
144,0.53,35.97
145,0.51,35.99
146,0.52,36.01
147,0.53,36.21
148,0.5,36.16
149,0.52,36.26
150,0.51,36.25
151,0.52,36.31
152,0.53,36.35
153,0.52,36.53
154,0.51,36.6
155,0.5,36.66
156,0.5,36.78
157,0.49,36.67
158,0.5,36.76
159,0.49,36.84
160,0.5,36.96
161,0.52,36.62
162,0.49,36.87
163,0.48,36.7
164,0.48,36.75
165,0.5,36.95
166,0.49,37.14
167,0.49,37.06
168,0.49,36.96
169,0.49,37.05
170,0.48,37.12
171,0.51,37.17
172,0.47,37.19
173,0.47,37.23
174,0.49,37.14
175,0.46,37.27
176,0.46,37.4
177,0.48,37.17
178,0.47,37.32
179,0.45,37.61
180,0.5,37.26
181,0.46,37.5
182,0.47,37.39
183,0.46,37.72
184,0.45,37.72
185,0.45,37.52
186,0.45,37.43
187,0.46,37.72
188,0.45,37.62
189,0.47,37.87
190,0.45,37.96
191,0.45,37.81
192,0.46,37.77
193,0.44,37.78
194,0.45,38.02
195,0.45,37.85
196,0.45,38.02
197,0.43,37.82
198,0.44,37.91
199,0.43,37.77
