Round,Train Loss,Accuracy
0,1.47,9.95
1,1.45,10.51
2,1.47,13.43
3,1.5,16.08
4,1.5,16.92
5,1.48,17.68
6,1.45,18.23
7,1.42,18.72
8,1.39,19.15
9,1.36,19.15
10,1.33,20.13
11,1.31,20.31
12,1.28,20.84
13,1.26,21.11
14,1.25,21.22
15,1.23,21.11
16,1.21,21.38
17,1.19,21.86
18,1.18,21.94
19,1.16,22.95
20,1.15,22.74
21,1.13,23.16
22,1.12,23.24
23,1.11,23.72
24,1.1,23.93
25,1.09,23.96
26,1.08,24.53
27,1.07,24.68
28,1.06,24.73
29,1.05,25.56
30,1.04,25.12
31,1.03,25.22
32,1.02,25.74
33,1.01,25.62
34,1.0,26.09
35,0.99,26.11
36,0.98,26.23
37,0.97,26.12
38,0.97,26.11
39,0.96,23.77
40,0.95,26.99
41,0.94,26.6
42,0.94,26.86
43,0.94,26.78
44,0.93,26.68
45,0.92,27.16
46,0.91,27.41
47,0.91,27.65
48,0.9,27.33
49,0.9,24.83
50,0.89,27.68
51,0.88,27.75
52,0.88,27.87
53,0.87,27.99
54,0.86,27.88
55,0.86,28.31
56,0.86,28.32
57,0.84,28.32
58,0.84,28.74
59,0.83,18.7
60,0.82,28.89
61,0.82,29.05
62,0.81,29.19
63,0.81,29.39
64,0.8,29.44
65,0.8,29.63
66,0.8,29.73
67,0.79,29.34
68,0.79,29.7
69,0.78,18.79
70,0.77,29.62
71,0.77,30.06
72,0.77,30.21
73,0.76,30.5
74,0.76,30.5
75,0.75,30.21
76,0.74,30.57
77,0.73,30.49
78,0.72,30.54
79,0.73,18.64
80,0.72,30.76
81,0.72,31.05
82,0.71,31.34
83,0.7,31.3
84,0.7,31.59
85,0.69,31.66
86,0.69,31.77
87,0.69,31.65
88,0.68,31.88
89,0.68,19.27
90,0.67,32.29
91,0.67,32.12
92,0.67,31.94
93,0.66,32.17
94,0.66,31.98
95,0.65,32.45
96,0.64,32.18
97,0.64,32.46
98,0.64,32.7
99,0.64,19.55
100,0.63,32.55
101,0.63,32.49
102,0.62,32.67
103,0.62,32.84
104,0.61,32.6
105,0.62,32.9
106,0.61,32.88
107,0.61,32.91
108,0.6,33.02
109,0.6,19.68
110,0.59,33.1
111,0.6,33.3
112,0.58,33.36
113,0.58,33.49
114,0.58,33.2
115,0.58,33.19
116,0.57,33.31
117,0.57,33.11
118,0.57,33.45
119,0.57,19.95
120,0.56,33.34
121,0.56,33.47
122,0.56,33.26
123,0.56,33.49
124,0.54,33.27
125,0.54,33.28
126,0.54,33.37
127,0.54,33.34
128,0.53,33.01
129,0.53,20.01
130,0.53,33.5
131,0.52,33.34
132,0.52,33.48
133,0.52,33.25
134,0.52,33.2
135,0.52,33.46
136,0.51,33.44
137,0.51,33.39
138,0.5,33.32
139,0.51,20.18
140,0.5,33.24
141,0.5,33.29
142,0.49,33.35
143,0.49,33.35
144,0.49,33.35
145,0.48,33.32
146,0.48,33.27
147,0.48,33.21
148,0.47,33.28
149,0.47,20.71
150,0.47,33.43
151,0.47,33.38
152,0.47,33.29
153,0.47,33.67
154,0.46,33.46
155,0.46,33.34
156,0.46,33.51
157,0.46,33.4
158,0.45,33.35
159,0.45,20.73
160,0.45,33.32
161,0.45,33.04
162,0.44,33.04
163,0.45,33.39
164,0.44,33.23
165,0.44,33.35
166,0.44,33.64
167,0.44,33.25
168,0.43,32.99
169,0.44,20.89
170,0.43,33.36
171,0.43,33.29
172,0.42,33.56
173,0.42,33.57
174,0.42,33.24
175,0.42,33.51
176,0.42,33.33
177,0.41,32.84
178,0.42,33.23
179,0.41,21.02
180,0.4,33.52
181,0.4,33.36
182,0.4,33.4
183,0.4,33.03
184,0.41,33.17
185,0.4,33.3
186,0.4,33.38
187,0.4,32.98
188,0.4,33.22
189,0.4,21.52
190,0.39,33.31
191,0.39,33.02
192,0.38,32.84
193,0.39,33.01
194,0.38,33.21
195,0.38,33.26
196,0.38,33.18
197,0.38,33.12
198,0.37,32.98
199,0.37,21.7
