Round,Train Loss,Accuracy
0,1.66,10.83
1,1.65,9.46
2,1.66,10.46
3,1.68,11.49
4,1.68,13.88
5,1.68,15.59
6,1.66,16.64
7,1.64,17.52
8,1.61,17.75
9,1.59,17.98
10,1.56,18.46
11,1.53,18.93
12,1.51,19.59
13,1.49,19.9
14,1.47,20.17
15,1.44,20.52
16,1.43,20.79
17,1.41,21.08
18,1.39,21.51
19,1.37,21.9
20,1.36,22.48
21,1.34,22.75
22,1.33,23.25
23,1.31,23.6
24,1.3,24.12
25,1.28,24.22
26,1.27,24.67
27,1.26,24.76
28,1.24,25.24
29,1.23,25.44
30,1.22,26.08
31,1.21,26.15
32,1.2,26.64
33,1.19,26.84
34,1.18,27.13
35,1.17,27.08
36,1.16,27.1
37,1.15,27.47
38,1.14,27.12
39,1.14,27.88
40,1.12,28.37
41,1.12,28.15
42,1.11,28.44
43,1.1,28.52
44,1.09,28.71
45,1.08,28.64
46,1.08,28.84
47,1.07,28.78
48,1.07,28.78
49,1.06,28.71
50,1.05,28.92
51,1.04,29.17
52,1.04,29.13
53,1.03,29.28
54,1.02,29.41
55,1.02,29.3
56,1.01,29.2
57,1.01,29.14
58,1.0,29.48
59,0.99,30.0
60,0.99,29.72
61,0.98,29.66
62,0.98,29.72
63,0.97,30.12
64,0.96,30.07
65,0.96,30.26
66,0.96,30.0
67,0.95,30.31
68,0.95,30.48
69,0.94,30.63
70,0.94,30.43
71,0.93,30.71
72,0.93,30.77
73,0.92,30.6
74,0.92,30.9
75,0.91,31.06
76,0.91,31.17
77,0.9,31.27
78,0.9,31.32
79,0.89,31.56
80,0.89,31.59
81,0.88,31.62
82,0.88,31.69
83,0.87,31.82
84,0.87,31.76
85,0.87,31.83
86,0.86,31.68
87,0.85,31.99
88,0.85,32.07
89,0.84,32.64
90,0.84,32.31
91,0.84,32.13
92,0.83,32.38
93,0.82,32.71
94,0.82,32.44
95,0.82,32.62
96,0.82,32.78
97,0.81,32.71
98,0.81,32.86
99,0.8,32.92
100,0.8,32.9
101,0.8,32.93
102,0.79,33.07
103,0.79,33.35
104,0.78,33.33
105,0.78,33.23
106,0.78,33.48
107,0.77,33.46
108,0.77,33.13
109,0.77,33.39
110,0.76,33.6
111,0.76,33.46
112,0.75,33.66
113,0.75,33.75
114,0.75,33.44
115,0.75,33.59
116,0.74,33.46
117,0.74,33.18
118,0.74,33.52
119,0.73,33.81
120,0.73,34.0
121,0.73,33.49
122,0.72,33.6
123,0.72,33.98
124,0.72,33.77
125,0.71,33.81
126,0.71,33.78
127,0.7,33.86
128,0.7,34.0
129,0.7,33.84
130,0.7,33.84
131,0.7,33.97
132,0.69,33.85
133,0.69,34.05
134,0.68,34.14
135,0.68,33.87
136,0.68,33.74
137,0.68,34.03
138,0.67,33.99
139,0.67,33.99
140,0.67,34.1
141,0.67,34.1
142,0.66,34.13
143,0.66,34.26
144,0.65,34.01
145,0.65,34.04
146,0.65,34.27
147,0.64,34.15
148,0.64,34.12
149,0.64,34.07
150,0.63,33.98
151,0.63,33.92
152,0.63,33.87
153,0.63,34.04
154,0.63,34.13
155,0.62,34.12
156,0.62,34.29
157,0.62,34.19
158,0.62,33.92
159,0.62,34.07
160,0.61,34.21
161,0.61,34.25
162,0.61,34.06
163,0.61,33.93
164,0.6,34.16
165,0.6,34.12
166,0.6,34.41
167,0.59,33.84
168,0.59,34.18
169,0.59,33.89
170,0.59,33.95
171,0.58,33.85
172,0.58,33.91
173,0.58,34.16
174,0.58,33.99
175,0.58,34.05
176,0.57,34.31
177,0.57,34.13
178,0.57,34.23
179,0.56,34.35
180,0.56,34.31
181,0.56,34.24
182,0.56,34.29
183,0.56,34.43
184,0.55,34.25
185,0.55,34.49
186,0.55,34.3
187,0.55,34.3
188,0.54,34.47
189,0.54,34.27
190,0.54,34.41
191,0.54,34.42
192,0.54,34.56
193,0.53,34.57
194,0.53,34.51
195,0.53,34.46
196,0.53,34.61
197,0.53,34.55
198,0.52,34.54
199,0.52,34.57
