Round,Train Loss,Accuracy
0,1.21,10.39
1,0.92,19.14
2,0.84,21.74
3,0.79,25.17
4,0.76,28.49
5,0.72,30.39
6,0.7,32.28
7,0.68,32.84
8,0.66,33.08
9,0.64,34.51
10,0.64,35.19
11,0.62,36.03
12,0.62,36.49
13,0.6,37.03
14,0.61,37.77
15,0.6,38.34
16,0.59,38.92
17,0.58,39.46
18,0.57,40.25
19,0.56,40.72
20,0.56,41.25
21,0.55,41.88
22,0.55,41.86
23,0.55,41.56
24,0.54,42.16
25,0.54,42.78
26,0.53,43.34
27,0.53,43.51
28,0.53,43.78
29,0.52,29.23
30,0.52,44.46
31,0.51,44.42
32,0.51,44.49
33,0.51,44.55
34,0.5,44.86
35,0.5,45.07
36,0.5,45.54
37,0.5,45.67
38,0.49,45.66
39,0.49,45.9
40,0.49,45.54
41,0.49,45.85
42,0.49,45.77
43,0.48,46.2
44,0.48,45.89
45,0.48,46.29
46,0.48,46.56
47,0.47,46.47
48,0.47,46.32
49,0.48,46.98
50,0.48,46.81
51,0.47,46.51
52,0.46,46.35
53,0.46,46.66
54,0.46,47.26
55,0.46,47.23
56,0.46,47.0
57,0.46,47.36
58,0.46,47.26
59,0.45,33.74
60,0.46,47.95
61,0.46,47.37
62,0.45,47.88
63,0.45,47.76
64,0.45,47.53
65,0.44,47.73
66,0.44,48.29
67,0.44,47.73
68,0.44,47.63
69,0.44,47.84
70,0.44,48.22
71,0.44,48.08
72,0.44,47.99
73,0.44,48.26
74,0.44,48.6
75,0.43,48.58
76,0.43,48.71
77,0.42,48.78
78,0.43,48.57
79,0.42,48.18
80,0.42,48.07
81,0.42,48.45
82,0.42,48.54
83,0.42,48.5
84,0.42,48.04
85,0.42,48.71
86,0.42,49.02
87,0.42,49.09
88,0.41,48.9
89,0.42,35.02
90,0.42,49.07
91,0.41,48.78
92,0.41,48.81
93,0.42,48.86
94,0.41,49.1
95,0.41,49.11
96,0.41,49.15
97,0.41,49.0
98,0.41,49.17
99,0.41,49.51
100,0.4,49.23
101,0.41,49.31
102,0.4,49.12
103,0.4,49.37
104,0.39,49.4
105,0.4,49.41
106,0.4,49.25
107,0.4,49.22
108,0.4,48.85
109,0.39,48.94
110,0.4,49.07
111,0.4,49.05
112,0.4,49.25
113,0.4,48.94
114,0.39,48.99
115,0.39,48.94
116,0.39,49.02
117,0.39,49.4
118,0.38,49.23
119,0.38,33.25
120,0.39,49.11
121,0.39,49.29
122,0.38,49.36
123,0.38,49.19
124,0.39,48.96
125,0.39,49.38
126,0.39,48.66
127,0.38,48.99
128,0.38,48.84
129,0.38,48.53
130,0.39,48.86
131,0.38,48.68
132,0.38,48.8
133,0.39,48.99
134,0.37,49.05
135,0.38,49.11
136,0.37,48.53
137,0.38,48.65
138,0.37,48.45
139,0.38,48.59
140,0.38,48.63
141,0.38,48.79
142,0.38,48.87
143,0.37,48.71
144,0.37,48.37
145,0.37,48.63
146,0.37,48.53
147,0.37,48.38
148,0.36,48.25
149,0.38,33.03
150,0.37,48.4
151,0.37,48.28
152,0.37,48.23
153,0.36,48.39
154,0.37,48.32
155,0.36,48.37
156,0.37,48.35
157,0.37,47.93
158,0.36,47.98
159,0.37,48.4
160,0.36,48.03
161,0.37,48.41
162,0.36,47.8
163,0.37,47.84
164,0.36,48.12
165,0.36,48.0
166,0.36,48.26
167,0.36,48.15
168,0.36,47.99
169,0.36,47.69
170,0.36,47.66
171,0.36,48.08
172,0.36,47.58
173,0.35,47.88
174,0.37,48.15
175,0.36,47.97
176,0.35,47.93
177,0.35,47.85
178,0.35,47.81
179,0.37,32.36
180,0.36,48.32
181,0.35,47.88
182,0.35,47.8
183,0.36,47.7
184,0.35,47.72
185,0.35,47.45
186,0.36,47.63
187,0.35,47.56
188,0.35,47.85
189,0.35,47.78
190,0.35,48.06
191,0.35,48.05
192,0.35,48.04
193,0.34,47.88
194,0.35,47.75
195,0.35,47.83
196,0.35,47.85
197,0.34,47.65
198,0.34,47.9
199,0.35,48.03
