Round,Train Loss,Accuracy
0,1.71,10.0
1,1.67,8.92
2,1.66,8.82
3,1.64,9.81
4,1.63,10.0
5,1.62,10.0
6,1.61,10.0
7,1.61,10.03
8,1.62,9.99
9,1.62,10.0
10,1.62,9.99
11,1.62,10.06
12,1.63,10.3
13,1.64,10.57
14,1.65,10.71
15,1.65,10.68
16,1.66,10.63
17,1.67,10.42
18,1.68,10.65
19,1.68,10.57
20,1.68,10.48
21,1.69,10.45
22,1.69,10.49
23,1.69,10.6
24,1.69,10.61
25,1.69,10.61
26,1.69,10.57
27,1.69,10.54
28,1.69,10.5
29,1.69,10.49
30,1.68,10.54
31,1.68,10.58
32,1.68,10.59
33,1.68,10.67
34,1.68,10.69
35,1.67,10.63
36,1.67,10.58
37,1.67,10.6
38,1.67,10.7
39,1.66,10.69
40,1.66,10.61
41,1.65,10.61
42,1.64,10.57
43,1.64,10.55
44,1.64,10.49
45,1.64,10.59
46,1.63,10.61
47,1.63,10.65
48,1.63,10.61
49,1.62,10.66
50,1.62,10.68
51,1.61,10.61
52,1.61,10.66
53,1.61,10.65
54,1.6,10.66
55,1.6,10.71
56,1.59,10.65
57,1.59,10.74
58,1.58,10.86
59,1.58,10.84
60,1.58,10.86
61,1.58,10.89
62,1.57,10.88
63,1.57,10.96
64,1.56,10.94
65,1.56,11.03
66,1.56,11.06
67,1.55,10.98
68,1.55,11.07
69,1.55,11.05
70,1.54,11.04
71,1.54,11.08
72,1.54,11.17
73,1.53,11.06
74,1.53,11.07
75,1.53,11.08
76,1.52,11.07
77,1.52,11.08
78,1.52,11.26
79,1.51,11.09
80,1.51,11.03
81,1.51,10.95
82,1.51,11.06
83,1.5,11.08
84,1.5,11.02
85,1.5,11.0
86,1.5,11.04
87,1.49,11.0
88,1.49,11.13
89,1.49,11.3
90,1.49,11.13
91,1.48,11.25
92,1.48,11.28
93,1.48,11.29
94,1.47,11.34
95,1.47,11.22
96,1.47,11.21
97,1.47,11.09
98,1.46,11.24
99,1.46,11.25
100,1.46,11.21
101,1.45,11.22
102,1.45,11.23
103,1.45,11.27
104,1.45,11.28
105,1.45,11.2
106,1.45,11.27
107,1.44,11.26
108,1.44,11.31
109,1.44,11.3
110,1.43,11.32
111,1.43,11.33
112,1.43,11.39
113,1.43,11.35
114,1.42,11.33
115,1.42,11.38
116,1.42,11.4
117,1.42,11.42
118,1.42,11.37
119,1.41,11.37
120,1.41,11.45
121,1.41,11.41
122,1.41,11.44
123,1.4,11.43
124,1.4,11.53
125,1.4,11.48
126,1.4,11.49
127,1.39,11.45
128,1.39,11.56
129,1.39,11.51
130,1.39,11.58
131,1.38,11.6
132,1.38,11.72
133,1.38,11.75
134,1.38,11.75
135,1.37,11.8
136,1.37,11.89
137,1.37,11.89
138,1.37,11.89
139,1.37,11.83
140,1.36,11.83
141,1.36,11.93
142,1.36,12.12
143,1.36,12.08
144,1.35,12.1
145,1.35,12.02
146,1.35,12.06
147,1.35,12.27
148,1.34,12.29
149,1.34,12.17
150,1.34,12.28
151,1.34,12.33
152,1.33,12.48
153,1.33,12.55
154,1.33,12.5
155,1.33,12.48
156,1.33,12.56
157,1.33,12.55
158,1.32,12.58
159,1.32,12.51
160,1.32,12.62
161,1.32,12.75
162,1.31,12.89
163,1.31,12.86
164,1.31,12.82
165,1.31,12.87
166,1.3,12.86
167,1.3,12.88
168,1.3,12.81
169,1.3,12.63
170,1.29,12.73
171,1.29,12.73
172,1.29,12.75
173,1.29,12.95
174,1.28,12.94
175,1.28,12.96
176,1.28,12.96
177,1.27,12.96
178,1.27,12.98
179,1.27,13.01
180,1.27,13.02
181,1.26,13.04
182,1.26,13.0
183,1.26,13.04
184,1.25,13.05
185,1.25,13.1
186,1.25,13.07
187,1.24,13.05
188,1.24,13.03
189,1.24,13.01
190,1.24,12.94
191,1.23,12.97
192,1.23,12.94
193,1.23,12.95
194,1.22,13.09
195,1.22,12.97
196,1.22,13.02
197,1.22,13.08
198,1.21,13.15
199,1.21,13.06
