Round,Train Loss,Accuracy
0,1.68,9.73
1,1.53,10.11
2,1.53,10.0
3,1.55,10.0
4,1.54,10.0
5,1.51,10.0
6,1.49,10.33
7,1.47,10.69
8,1.45,11.54
9,1.43,9.94
10,1.45,10.03
11,1.44,9.93
12,1.45,9.99
13,1.45,10.3
14,1.44,12.1
15,1.41,11.7
16,1.39,13.58
17,1.37,13.85
18,1.35,14.41
19,1.33,10.34
20,1.37,12.56
21,1.36,12.25
22,1.36,11.98
23,1.35,14.12
24,1.33,14.57
25,1.31,15.81
26,1.29,16.17
27,1.27,17.06
28,1.25,16.7
29,1.24,12.34
30,1.31,15.59
31,1.3,13.01
32,1.3,14.16
33,1.28,16.56
34,1.26,16.96
35,1.24,17.7
36,1.22,18.03
37,1.21,18.02
38,1.19,18.41
39,1.18,17.21
40,1.24,19.39
41,1.23,16.66
42,1.23,17.67
43,1.21,18.77
44,1.19,19.69
45,1.17,21.22
46,1.15,20.24
47,1.15,21.24
48,1.13,22.04
49,1.12,19.85
50,1.19,21.68
51,1.18,20.3
52,1.18,20.83
53,1.16,21.71
54,1.14,23.05
55,1.13,22.61
56,1.11,23.35
57,1.1,24.04
58,1.08,24.29
59,1.07,21.96
60,1.15,23.45
61,1.14,22.67
62,1.14,23.17
63,1.12,23.94
64,1.1,24.5
65,1.09,24.34
66,1.08,25.36
67,1.06,25.1
68,1.05,25.02
69,1.03,25.8
70,1.11,26.02
71,1.1,24.97
72,1.09,25.48
73,1.08,25.72
74,1.06,26.26
75,1.04,26.25
76,1.03,26.65
77,1.02,26.68
78,1.0,27.02
79,0.99,27.42
80,1.07,27.3
81,1.07,26.61
82,1.07,26.58
83,1.05,26.66
84,1.03,27.3
85,1.02,27.48
86,1.0,27.07
87,1.0,27.21
88,0.99,27.84
89,0.97,29.39
90,1.04,29.01
91,1.04,28.09
92,1.03,27.93
93,1.02,28.3
94,1.0,28.21
95,0.99,28.28
96,0.97,28.24
97,0.96,28.61
98,0.95,28.69
99,0.94,30.7
100,1.02,30.42
101,1.01,29.08
102,1.01,28.97
103,1.0,29.64
104,0.98,29.19
105,0.97,29.23
106,0.96,29.22
107,0.94,29.39
108,0.93,29.51
109,0.92,32.1
110,1.0,31.39
111,1.0,30.67
112,0.99,30.56
113,0.98,30.38
114,0.96,30.59
115,0.95,30.49
116,0.94,31.03
117,0.92,30.56
118,0.91,30.68
119,0.9,33.05
120,0.99,32.08
121,0.98,31.42
122,0.97,31.09
123,0.96,31.25
124,0.95,31.33
125,0.94,31.08
126,0.92,31.37
127,0.91,31.04
128,0.9,31.19
129,0.89,33.85
130,0.97,32.34
131,0.96,31.75
132,0.96,31.86
133,0.94,31.74
134,0.93,32.01
135,0.92,31.62
136,0.91,31.95
137,0.89,32.31
138,0.87,32.01
139,0.86,34.02
140,0.96,33.2
141,0.94,32.26
142,0.94,32.07
143,0.93,32.0
144,0.91,32.11
145,0.9,32.86
146,0.88,32.4
147,0.87,32.01
148,0.86,32.32
149,0.85,35.12
150,0.94,33.65
151,0.93,32.52
152,0.93,32.91
153,0.91,32.55
154,0.89,33.39
155,0.87,32.8
156,0.87,32.3
157,0.86,32.5
158,0.84,32.95
159,0.83,35.55
160,0.93,33.84
161,0.92,32.66
162,0.91,33.14
163,0.9,32.85
164,0.88,33.09
165,0.87,33.27
166,0.86,32.59
167,0.85,33.44
168,0.82,33.78
169,0.81,35.92
170,0.91,34.37
171,0.91,32.99
172,0.9,34.0
173,0.87,33.89
174,0.86,33.06
175,0.85,33.56
176,0.84,33.56
177,0.82,33.14
178,0.81,33.42
179,0.79,36.6
180,0.9,34.54
181,0.9,33.47
182,0.89,33.07
183,0.87,34.18
184,0.84,33.38
185,0.84,33.96
186,0.82,33.51
187,0.81,33.76
188,0.8,34.13
189,0.79,36.81
190,0.89,35.22
191,0.88,33.51
192,0.87,33.88
193,0.86,33.8
194,0.84,34.08
195,0.82,34.27
196,0.81,33.67
197,0.8,33.93
198,0.78,33.92
199,0.77,36.96
