Round,Train Loss,Accuracy
0,1.49,10.07
1,1.43,10.05
2,1.37,10.62
3,1.35,11.78
4,1.34,16.69
5,1.33,18.12
6,1.31,18.74
7,1.29,19.63
8,1.27,20.86
9,1.24,21.42
10,1.22,22.52
11,1.2,23.1
12,1.18,23.98
13,1.16,24.81
14,1.13,12.16
15,1.11,26.71
16,1.09,26.84
17,1.07,27.66
18,1.05,28.16
19,1.03,28.54
20,1.01,29.06
21,0.99,29.74
22,0.97,30.01
23,0.96,30.36
24,0.94,30.27
25,0.93,30.92
26,0.91,31.27
27,0.9,31.28
28,0.89,31.68
29,0.87,16.32
30,0.86,31.88
31,0.85,32.1
32,0.84,32.0
33,0.83,32.18
34,0.82,32.46
35,0.81,32.75
36,0.8,32.72
37,0.8,33.02
38,0.78,32.94
39,0.78,32.96
40,0.77,33.15
41,0.76,33.2
42,0.75,33.33
43,0.74,33.34
44,0.74,17.2
45,0.73,33.41
46,0.72,33.68
47,0.72,33.72
48,0.71,33.6
49,0.7,33.94
50,0.69,33.73
51,0.69,34.26
52,0.68,33.64
53,0.68,34.18
54,0.67,33.85
55,0.67,34.05
56,0.67,34.27
57,0.66,34.31
58,0.65,34.02
59,0.64,17.17
60,0.64,34.37
61,0.63,34.21
62,0.63,34.28
63,0.62,34.28
64,0.62,34.17
65,0.62,34.35
66,0.6,33.9
67,0.61,34.0
68,0.59,34.2
69,0.59,34.14
70,0.59,34.08
71,0.59,34.03
72,0.58,34.36
73,0.58,34.08
74,0.57,34.97
75,0.57,34.11
76,0.56,34.14
77,0.55,34.22
78,0.55,34.29
79,0.55,34.13
80,0.54,34.08
81,0.53,34.15
82,0.53,34.48
83,0.52,34.22
84,0.52,34.03
85,0.51,34.15
86,0.5,34.22
87,0.51,33.98
88,0.5,34.18
89,0.5,34.94
90,0.49,34.21
91,0.49,34.06
92,0.49,34.13
93,0.48,34.27
94,0.47,34.19
95,0.47,33.81
96,0.47,34.12
97,0.47,34.08
98,0.46,33.88
99,0.46,34.14
100,0.46,33.83
101,0.45,33.72
102,0.44,33.73
103,0.44,33.76
104,0.44,34.85
105,0.44,33.69
106,0.43,33.52
107,0.44,33.58
108,0.42,33.88
109,0.43,33.92
110,0.42,33.59
111,0.41,33.6
112,0.41,33.46
113,0.41,33.66
114,0.41,33.39
115,0.41,33.69
116,0.41,33.42
117,0.4,33.38
118,0.4,33.48
119,0.39,34.71
120,0.39,33.52
121,0.39,33.27
122,0.39,33.56
123,0.38,33.36
124,0.38,33.27
125,0.38,33.36
126,0.37,33.24
127,0.38,33.53
128,0.38,33.48
129,0.37,33.48
130,0.37,33.69
131,0.36,33.59
132,0.36,33.65
133,0.36,33.3
134,0.36,34.87
135,0.36,33.59
136,0.35,33.58
137,0.35,33.47
138,0.35,33.75
139,0.34,33.52
140,0.35,33.6
141,0.35,33.77
142,0.34,33.72
143,0.34,33.77
144,0.34,33.72
145,0.34,33.65
146,0.34,33.55
147,0.34,33.65
148,0.33,33.76
149,0.33,34.78
150,0.33,33.61
151,0.32,33.58
152,0.32,33.69
153,0.32,33.62
154,0.32,33.65
155,0.32,33.71
156,0.32,33.39
157,0.32,33.55
158,0.31,33.37
159,0.32,33.42
160,0.31,33.44
161,0.31,33.62
162,0.31,33.69
163,0.31,33.69
164,0.3,34.8
165,0.3,33.42
166,0.31,33.37
167,0.3,33.57
168,0.3,33.52
169,0.3,33.38
170,0.3,33.44
171,0.3,33.75
172,0.3,33.44
173,0.29,33.61
174,0.29,33.5
175,0.29,33.46
176,0.29,33.32
177,0.29,33.41
178,0.29,33.46
179,0.29,34.97
180,0.28,33.47
181,0.28,33.36
182,0.28,33.44
183,0.27,33.17
184,0.28,33.14
185,0.27,32.97
186,0.27,33.32
187,0.27,33.42
188,0.28,33.41
189,0.27,33.4
190,0.27,33.4
191,0.27,33.46
192,0.27,33.39
193,0.27,33.38
194,0.27,35.27
195,0.27,33.45
196,0.27,33.29
197,0.27,33.49
198,0.27,33.48
199,0.27,33.57
