Round,Train Loss,Accuracy
0,1.33,10.37
1,1.01,10.92
2,0.91,18.05
3,0.87,19.12
4,0.84,22.14
5,0.8,23.74
6,0.77,25.42
7,0.73,29.09
8,0.71,30.66
9,0.69,37.34
10,0.68,33.43
11,0.66,34.21
12,0.66,34.93
13,0.65,36.05
14,0.64,36.44
15,0.63,36.58
16,0.63,37.11
17,0.63,38.36
18,0.62,37.17
19,0.62,40.86
20,0.61,39.52
21,0.61,39.54
22,0.6,39.77
23,0.6,39.97
24,0.6,40.91
25,0.59,40.91
26,0.58,41.42
27,0.58,40.91
28,0.58,40.63
29,0.58,43.59
30,0.57,42.0
31,0.57,42.13
32,0.56,42.37
33,0.57,41.73
34,0.56,42.26
35,0.55,42.54
36,0.56,42.73
37,0.55,43.34
38,0.55,43.54
39,0.54,45.57
40,0.54,43.35
41,0.54,43.23
42,0.55,43.39
43,0.54,43.9
44,0.53,43.29
45,0.53,43.93
46,0.53,43.99
47,0.54,44.02
48,0.52,44.54
49,0.52,46.16
50,0.53,43.9
51,0.51,44.64
52,0.52,43.84
53,0.51,44.67
54,0.51,43.53
55,0.51,45.05
56,0.51,45.04
57,0.5,44.89
58,0.5,45.09
59,0.5,46.74
60,0.5,46.08
61,0.5,44.69
62,0.5,45.91
63,0.49,45.28
64,0.49,45.48
65,0.49,45.62
66,0.49,45.97
67,0.49,45.49
68,0.49,45.85
69,0.48,47.02
70,0.48,45.88
71,0.47,46.58
72,0.47,46.4
73,0.47,46.12
74,0.47,45.61
75,0.47,46.06
76,0.47,46.8
77,0.46,46.78
78,0.47,46.41
79,0.47,47.62
80,0.46,46.6
81,0.46,46.44
82,0.46,46.56
83,0.45,46.47
84,0.45,46.63
85,0.45,46.09
86,0.45,46.57
87,0.46,46.55
88,0.45,47.25
89,0.45,48.35
90,0.45,46.75
91,0.45,46.9
92,0.44,46.8
93,0.44,47.22
94,0.44,46.91
95,0.43,46.99
96,0.45,46.88
97,0.44,47.06
98,0.43,47.24
99,0.44,48.19
100,0.43,46.71
101,0.44,47.38
102,0.42,46.71
103,0.42,47.07
104,0.42,47.11
105,0.42,46.7
106,0.42,47.56
107,0.42,46.83
108,0.42,47.05
109,0.42,48.56
110,0.41,47.12
111,0.42,46.9
112,0.41,46.88
113,0.41,47.64
114,0.41,47.7
115,0.41,47.4
116,0.41,47.11
117,0.41,47.05
118,0.4,47.45
119,0.4,48.65
120,0.4,47.13
121,0.41,47.54
122,0.4,48.01
123,0.4,46.99
124,0.4,47.94
125,0.4,47.54
126,0.4,47.13
127,0.39,47.66
128,0.39,48.01
129,0.4,48.78
130,0.39,47.85
131,0.39,47.31
132,0.38,47.68
133,0.38,47.55
134,0.38,47.62
135,0.38,47.78
136,0.39,47.65
137,0.38,47.31
138,0.38,47.9
139,0.38,48.47
140,0.37,46.89
141,0.38,47.55
142,0.38,47.59
143,0.37,47.35
144,0.38,47.18
145,0.37,47.4
146,0.37,47.65
147,0.37,47.49
148,0.37,47.45
149,0.37,48.88
150,0.37,47.52
151,0.37,46.27
152,0.37,47.68
153,0.36,47.66
154,0.36,47.42
155,0.36,47.81
156,0.36,47.23
157,0.36,47.2
158,0.37,47.39
159,0.36,48.66
160,0.36,47.49
161,0.36,47.51
162,0.37,47.21
163,0.37,47.28
164,0.37,47.22
165,0.35,47.08
166,0.35,47.58
167,0.35,47.38
168,0.36,47.4
169,0.35,48.6
170,0.36,47.25
171,0.36,47.39
172,0.35,47.35
173,0.35,46.72
174,0.35,47.46
175,0.34,47.22
176,0.35,47.28
177,0.34,47.08
178,0.36,46.97
179,0.35,48.78
180,0.35,47.35
181,0.34,46.92
182,0.34,47.04
183,0.34,47.02
184,0.34,46.83
185,0.34,46.64
186,0.33,47.16
187,0.35,47.04
188,0.34,46.38
189,0.35,48.76
190,0.33,46.77
191,0.33,46.64
192,0.33,46.35
193,0.34,46.95
194,0.35,46.89
195,0.33,46.92
196,0.34,46.7
197,0.34,47.08
198,0.33,47.11
199,0.33,48.91
