Round,Train Loss,Accuracy
0,1.32,12.5
1,1.0,11.99
2,0.91,17.91
3,0.87,22.54
4,0.82,23.95
5,0.78,27.58
6,0.74,27.63
7,0.72,32.07
8,0.7,33.41
9,0.68,35.21
10,0.67,34.52
11,0.66,35.76
12,0.65,36.93
13,0.64,38.03
14,0.63,37.61
15,0.63,37.92
16,0.62,39.83
17,0.62,38.61
18,0.61,39.82
19,0.6,41.41
20,0.61,41.45
21,0.6,41.03
22,0.6,41.34
23,0.59,41.5
24,0.59,42.24
25,0.58,40.83
26,0.57,42.63
27,0.58,42.9
28,0.57,42.79
29,0.57,43.03
30,0.57,43.34
31,0.56,43.34
32,0.56,44.2
33,0.55,43.02
34,0.56,43.59
35,0.55,43.91
36,0.55,43.45
37,0.55,44.18
38,0.54,44.38
39,0.54,44.59
40,0.54,44.87
41,0.53,44.64
42,0.53,43.97
43,0.53,45.06
44,0.52,44.53
45,0.52,45.09
46,0.52,45.28
47,0.52,45.63
48,0.52,45.6
49,0.51,45.65
50,0.52,45.78
51,0.52,45.89
52,0.51,45.42
53,0.51,45.37
54,0.51,46.32
55,0.5,45.89
56,0.5,45.96
57,0.5,46.36
58,0.5,46.64
59,0.5,46.76
60,0.5,45.91
61,0.49,46.96
62,0.49,46.51
63,0.49,47.24
64,0.49,47.09
65,0.48,47.33
66,0.49,46.99
67,0.48,46.75
68,0.48,46.88
69,0.48,47.57
70,0.48,47.5
71,0.47,47.66
72,0.47,47.7
73,0.47,47.56
74,0.47,47.96
75,0.47,47.18
76,0.47,48.1
77,0.46,48.02
78,0.46,47.48
79,0.46,47.88
80,0.47,47.51
81,0.46,48.14
82,0.46,47.98
83,0.46,48.0
84,0.45,48.41
85,0.45,48.2
86,0.45,48.22
87,0.45,48.16
88,0.45,48.64
89,0.45,48.32
90,0.45,48.37
91,0.44,48.2
92,0.45,48.66
93,0.44,47.91
94,0.44,48.29
95,0.44,48.74
96,0.43,47.95
97,0.43,48.11
98,0.44,48.53
99,0.43,48.54
100,0.43,48.38
101,0.43,48.55
102,0.43,48.3
103,0.43,48.58
104,0.43,48.76
105,0.42,48.89
106,0.42,47.94
107,0.42,48.59
108,0.42,47.94
109,0.42,48.94
110,0.42,48.92
111,0.42,48.85
112,0.42,48.51
113,0.42,48.37
114,0.42,48.69
115,0.41,48.8
116,0.41,48.56
117,0.41,48.71
118,0.41,48.93
119,0.41,48.75
120,0.41,49.03
121,0.41,48.88
122,0.4,49.01
123,0.41,49.63
124,0.41,48.87
125,0.4,48.88
126,0.41,48.92
127,0.4,49.19
128,0.4,48.37
129,0.4,48.76
130,0.4,49.41
131,0.4,49.27
132,0.4,49.17
133,0.39,49.38
134,0.39,49.34
135,0.39,49.16
136,0.39,49.08
137,0.39,49.3
138,0.39,49.27
139,0.39,48.86
140,0.38,49.21
141,0.39,49.27
142,0.39,49.08
143,0.38,48.89
144,0.38,49.39
145,0.38,49.08
146,0.39,48.88
147,0.38,48.91
148,0.37,49.16
149,0.38,49.18
150,0.38,49.3
151,0.37,49.45
152,0.37,49.28
153,0.38,49.3
154,0.38,49.44
155,0.37,49.17
156,0.37,49.46
157,0.37,49.35
158,0.38,49.14
159,0.37,48.7
160,0.37,49.57
161,0.37,48.85
162,0.37,49.05
163,0.37,49.54
164,0.37,49.27
165,0.37,49.22
166,0.37,49.17
167,0.37,48.86
168,0.36,48.99
169,0.37,49.01
170,0.36,49.1
171,0.36,49.06
172,0.36,49.07
173,0.36,48.88
174,0.36,47.94
175,0.36,48.76
176,0.36,48.66
177,0.35,48.72
178,0.35,48.99
179,0.36,49.04
180,0.36,48.63
181,0.35,48.84
182,0.36,48.95
183,0.36,48.19
184,0.35,48.65
185,0.34,48.81
186,0.36,48.76
187,0.35,48.94
188,0.35,48.8
189,0.35,48.66
190,0.35,48.79
191,0.35,49.07
192,0.36,48.65
193,0.34,48.62
194,0.34,48.68
195,0.35,48.67
196,0.35,48.83
197,0.34,48.93
198,0.35,49.03
199,0.34,49.33
