Round,Train Loss,Accuracy
0,1.46,8.81
1,1.34,10.0
2,1.27,10.0
3,1.22,10.16
4,1.19,12.77
5,1.16,13.53
6,1.15,14.05
7,1.13,14.44
8,1.11,14.93
9,1.08,15.71
10,1.08,17.08
11,1.06,17.98
12,1.05,18.92
13,1.04,19.7
14,1.02,20.75
15,1.01,21.13
16,1.01,21.59
17,1.0,22.09
18,0.99,22.61
19,0.99,23.25
20,0.98,23.69
21,0.97,24.23
22,0.97,24.47
23,0.95,24.91
24,0.95,25.01
25,0.95,25.31
26,0.94,25.88
27,0.93,26.12
28,0.92,26.29
29,0.92,26.52
30,0.92,26.95
31,0.91,27.33
32,0.9,27.5
33,0.89,28.04
34,0.89,28.41
35,0.88,28.55
36,0.88,28.99
37,0.87,28.79
38,0.87,29.19
39,0.86,29.66
40,0.87,30.05
41,0.85,30.04
42,0.86,30.46
43,0.84,31.01
44,0.84,31.15
45,0.83,31.26
46,0.84,31.49
47,0.83,31.66
48,0.82,31.92
49,0.82,32.11
50,0.81,32.29
51,0.8,32.4
52,0.8,32.74
53,0.8,33.02
54,0.79,33.27
55,0.8,33.51
56,0.79,33.42
57,0.78,33.62
58,0.77,33.45
59,0.77,33.77
60,0.77,33.88
61,0.77,34.23
62,0.76,33.99
63,0.77,34.61
64,0.75,34.72
65,0.76,34.58
66,0.75,34.57
67,0.75,34.86
68,0.74,34.76
69,0.74,35.03
70,0.74,35.08
71,0.73,35.3
72,0.73,35.25
73,0.73,35.37
74,0.72,35.52
75,0.72,35.55
76,0.71,35.69
77,0.71,35.92
78,0.71,35.58
79,0.71,36.07
80,0.7,36.04
81,0.7,35.99
82,0.7,36.55
83,0.7,36.33
84,0.7,36.73
85,0.69,36.51
86,0.68,36.67
87,0.68,37.31
88,0.69,36.68
89,0.69,36.75
90,0.68,37.15
91,0.67,37.1
92,0.67,37.05
93,0.67,37.06
94,0.67,37.08
95,0.66,37.27
96,0.66,37.27
97,0.66,37.28
98,0.66,37.04
99,0.66,37.7
100,0.65,37.61
101,0.65,37.69
102,0.64,37.35
103,0.64,37.6
104,0.65,37.77
105,0.64,37.67
106,0.65,37.83
107,0.64,37.59
108,0.63,37.64
109,0.64,37.73
110,0.64,37.61
111,0.63,37.89
112,0.63,37.85
113,0.62,37.76
114,0.63,37.97
115,0.62,38.0
116,0.62,37.89
117,0.62,38.08
118,0.62,38.12
119,0.62,38.1
120,0.61,38.18
121,0.61,38.01
122,0.6,38.26
123,0.6,38.09
124,0.6,38.31
125,0.61,38.3
126,0.59,38.35
127,0.6,38.38
128,0.59,38.41
129,0.59,38.23
130,0.6,38.39
131,0.6,38.46
132,0.59,38.41
133,0.59,38.55
134,0.59,38.56
135,0.58,38.65
136,0.58,38.52
137,0.58,38.59
138,0.57,38.68
139,0.58,38.53
140,0.57,38.64
141,0.57,38.68
142,0.57,38.66
143,0.57,38.54
144,0.57,38.76
145,0.57,38.67
146,0.56,38.76
147,0.57,38.83
148,0.56,38.71
149,0.57,38.5
150,0.55,38.63
151,0.56,38.71
152,0.55,38.56
153,0.56,38.75
154,0.55,39.01
155,0.56,38.89
156,0.56,38.98
157,0.56,38.72
158,0.55,38.86
159,0.54,38.81
160,0.55,38.92
161,0.54,38.85
162,0.54,38.7
163,0.54,38.84
164,0.53,38.55
165,0.54,38.76
166,0.54,38.71
167,0.54,38.78
168,0.53,38.85
169,0.53,38.93
170,0.54,38.83
171,0.53,38.91
172,0.53,39.07
173,0.52,39.0
174,0.53,38.94
175,0.52,38.83
176,0.52,38.91
177,0.53,38.76
178,0.52,38.88
179,0.52,38.93
180,0.51,39.11
181,0.51,39.02
182,0.51,38.75
183,0.51,38.73
184,0.51,38.81
185,0.51,38.71
186,0.51,38.81
187,0.5,38.7
188,0.51,38.78
189,0.5,38.98
190,0.5,38.78
191,0.5,38.93
192,0.5,38.88
193,0.5,38.82
194,0.5,38.86
195,0.49,38.94
196,0.49,39.06
197,0.49,38.99
198,0.49,38.84
199,0.49,38.95
