Round,Train Loss,Accuracy
0,1.0,13.7
1,0.73,14.34
2,0.65,20.76
3,0.6,25.37
4,0.57,27.32
5,0.55,29.25
6,0.53,30.87
7,0.5,32.2
8,0.5,33.32
9,0.48,30.63
10,0.52,31.74
11,0.5,32.93
12,0.49,34.59
13,0.47,35.19
14,0.46,36.19
15,0.46,36.84
16,0.45,37.4
17,0.44,38.3
18,0.44,38.46
19,0.43,36.23
20,0.49,37.7
21,0.46,39.37
22,0.45,39.51
23,0.44,40.39
24,0.43,40.63
25,0.43,41.3
26,0.42,41.58
27,0.42,41.66
28,0.4,42.91
29,0.4,39.4
30,0.44,42.03
31,0.44,42.53
32,0.42,42.84
33,0.42,43.36
34,0.41,43.47
35,0.41,43.92
36,0.4,44.67
37,0.4,44.59
38,0.39,44.15
39,0.39,41.68
40,0.43,43.53
41,0.42,44.02
42,0.41,44.61
43,0.41,44.83
44,0.4,45.56
45,0.39,45.06
46,0.39,45.21
47,0.4,45.76
48,0.38,46.59
49,0.38,42.7
50,0.42,44.82
51,0.41,44.85
52,0.41,45.16
53,0.4,45.7
54,0.39,45.92
55,0.39,45.79
56,0.38,45.65
57,0.38,45.48
58,0.38,46.05
59,0.37,43.24
60,0.42,45.72
61,0.4,45.64
62,0.4,44.91
63,0.39,45.7
64,0.39,46.35
65,0.39,45.96
66,0.38,45.34
67,0.37,46.61
68,0.36,46.62
69,0.36,43.47
70,0.43,44.99
71,0.4,45.24
72,0.4,45.3
73,0.38,45.54
74,0.38,45.85
75,0.37,45.29
76,0.37,46.11
77,0.37,45.35
78,0.36,46.38
79,0.36,43.64
80,0.42,45.07
81,0.4,44.92
82,0.39,44.99
83,0.39,45.73
84,0.38,45.76
85,0.37,45.59
86,0.37,46.11
87,0.37,46.25
88,0.36,46.13
89,0.36,44.1
90,0.42,44.14
91,0.4,44.24
92,0.39,44.79
93,0.38,44.56
94,0.38,45.22
95,0.37,46.02
96,0.36,45.85
97,0.36,46.47
98,0.35,46.23
99,0.35,43.64
100,0.41,44.26
101,0.4,44.43
102,0.37,44.77
103,0.37,44.78
104,0.37,45.01
105,0.36,45.31
106,0.36,46.12
107,0.35,47.01
108,0.35,46.33
109,0.34,43.54
110,0.42,43.65
111,0.4,43.94
112,0.39,43.87
113,0.37,44.82
114,0.38,44.95
115,0.37,44.77
116,0.36,44.55
117,0.35,45.75
118,0.35,45.76
119,0.34,43.09
120,0.42,43.13
121,0.39,43.15
122,0.38,43.7
123,0.37,43.64
124,0.37,43.08
125,0.36,44.15
126,0.36,44.41
127,0.35,44.65
128,0.35,44.87
129,0.34,42.41
130,0.42,43.05
131,0.4,43.02
132,0.38,42.79
133,0.37,43.48
134,0.37,43.78
135,0.36,43.29
136,0.36,44.06
137,0.35,43.93
138,0.35,44.32
139,0.35,43.11
140,0.42,42.77
141,0.39,42.81
142,0.39,42.8
143,0.39,43.1
144,0.36,43.08
145,0.36,43.26
146,0.35,43.7
147,0.34,43.55
148,0.34,44.46
149,0.34,42.51
150,0.42,42.27
151,0.39,42.11
152,0.38,42.87
153,0.37,43.38
154,0.36,43.43
155,0.35,42.89
156,0.35,43.73
157,0.35,44.25
158,0.34,43.61
159,0.34,42.46
160,0.42,41.8
161,0.41,42.44
162,0.39,42.8
163,0.38,42.96
164,0.36,43.32
165,0.36,43.09
166,0.35,43.67
167,0.35,43.36
168,0.34,43.78
169,0.33,42.37
170,0.43,42.66
171,0.39,42.44
172,0.38,42.41
173,0.37,42.52
174,0.37,43.03
175,0.35,43.49
176,0.34,43.68
177,0.34,43.64
178,0.33,43.91
179,0.33,42.25
180,0.42,42.49
181,0.4,42.24
182,0.37,43.06
183,0.38,42.74
184,0.36,42.93
185,0.36,42.91
186,0.35,43.59
187,0.34,43.45
188,0.34,44.27
189,0.34,42.17
190,0.45,42.47
191,0.4,41.63
192,0.38,42.35
193,0.37,42.77
194,0.36,42.79
195,0.35,42.52
196,0.34,43.44
197,0.34,43.38
198,0.34,43.41
199,0.33,42.02
