Round,Train Loss,Accuracy
0,1.13,10.0
1,0.73,10.0
2,0.69,11.75
3,0.67,13.83
4,0.65,16.25
5,0.63,20.33
6,0.6,19.86
7,0.59,22.92
8,0.58,21.79
9,0.56,15.55
10,0.69,15.2
11,0.63,18.21
12,0.6,19.03
13,0.58,21.19
14,0.57,22.43
15,0.55,25.97
16,0.54,25.11
17,0.52,27.42
18,0.52,27.58
19,0.5,24.61
20,0.64,19.66
21,0.6,25.65
22,0.57,25.64
23,0.55,26.4
24,0.53,27.21
25,0.52,29.04
26,0.5,29.77
27,0.49,30.04
28,0.48,30.06
29,0.47,30.53
30,0.6,26.89
31,0.55,24.68
32,0.54,29.7
33,0.52,25.82
34,0.51,31.15
35,0.5,30.62
36,0.48,31.09
37,0.47,33.31
38,0.47,32.91
39,0.46,33.19
40,0.56,29.28
41,0.53,30.75
42,0.51,29.79
43,0.5,31.53
44,0.49,32.89
45,0.48,32.07
46,0.47,31.65
47,0.46,32.38
48,0.45,33.39
49,0.45,35.46
50,0.54,29.92
51,0.51,31.84
52,0.49,33.12
53,0.48,30.12
54,0.47,33.16
55,0.47,32.04
56,0.46,32.64
57,0.45,33.43
58,0.45,33.93
59,0.44,37.54
60,0.52,32.89
61,0.49,32.56
62,0.48,31.26
63,0.48,32.14
64,0.46,32.28
65,0.46,32.79
66,0.45,33.36
67,0.45,33.75
68,0.44,34.35
69,0.43,38.89
70,0.51,33.11
71,0.48,32.53
72,0.48,32.94
73,0.46,33.58
74,0.46,34.77
75,0.45,33.76
76,0.45,34.55
77,0.44,35.1
78,0.44,34.76
79,0.43,40.37
80,0.5,32.65
81,0.48,33.33
82,0.47,34.2
83,0.46,33.17
84,0.45,35.55
85,0.45,33.79
86,0.44,36.04
87,0.44,36.23
88,0.43,35.99
89,0.43,40.98
90,0.49,34.56
91,0.47,34.79
92,0.46,35.15
93,0.46,35.78
94,0.45,35.21
95,0.44,35.95
96,0.43,36.26
97,0.43,35.4
98,0.42,35.85
99,0.42,42.62
100,0.48,34.54
101,0.46,34.86
102,0.46,35.76
103,0.44,34.98
104,0.44,35.64
105,0.44,35.79
106,0.43,36.07
107,0.42,36.98
108,0.41,35.99
109,0.41,42.63
110,0.48,34.27
111,0.46,35.5
112,0.45,35.33
113,0.45,36.48
114,0.43,35.83
115,0.43,36.77
116,0.42,35.73
117,0.42,37.25
118,0.42,36.96
119,0.41,43.83
120,0.48,35.34
121,0.45,36.77
122,0.44,35.78
123,0.44,34.83
124,0.43,36.56
125,0.43,35.99
126,0.42,36.99
127,0.41,36.87
128,0.4,37.58
129,0.41,44.26
130,0.47,36.34
131,0.45,35.86
132,0.44,37.18
133,0.44,37.43
134,0.42,37.42
135,0.42,37.6
136,0.42,38.26
137,0.4,37.73
138,0.4,38.35
139,0.4,45.1
140,0.47,35.75
141,0.44,36.89
142,0.44,36.19
143,0.43,35.8
144,0.42,37.75
145,0.41,37.94
146,0.4,37.66
147,0.4,38.49
148,0.39,37.78
149,0.39,45.1
150,0.47,38.15
151,0.44,37.03
152,0.43,37.31
153,0.42,38.15
154,0.42,38.36
155,0.41,37.97
156,0.4,38.72
157,0.4,37.12
158,0.39,37.82
159,0.39,45.92
160,0.46,37.67
161,0.43,38.16
162,0.43,38.57
163,0.42,36.9
164,0.41,37.9
165,0.41,37.95
166,0.4,38.11
167,0.39,38.53
168,0.39,38.51
169,0.38,46.76
170,0.45,39.19
171,0.43,38.84
172,0.42,38.64
173,0.41,38.17
174,0.4,37.99
175,0.4,38.51
176,0.39,38.8
177,0.38,38.43
178,0.38,37.83
179,0.38,46.53
180,0.45,38.9
181,0.42,37.28
182,0.42,38.48
183,0.41,37.55
184,0.4,38.66
185,0.4,39.3
186,0.39,39.52
187,0.38,39.13
188,0.38,39.1
189,0.38,46.57
190,0.45,39.07
191,0.42,38.41
192,0.42,37.81
193,0.41,39.48
194,0.4,39.44
195,0.39,39.38
196,0.39,39.84
197,0.39,39.5
198,0.38,39.26
199,0.37,46.8
