Round,Train Loss,Accuracy
0,1.73,11.23
1,1.5,20.68
2,1.37,24.18
3,1.29,27.73
4,1.22,32.35
5,1.17,35.64
6,1.13,36.02
7,1.1,37.6
8,1.08,38.27
9,1.06,29.45
10,1.25,31.42
11,1.16,34.44
12,1.11,35.41
13,1.08,37.21
14,1.06,40.8
15,1.04,41.46
16,1.02,43.27
17,1.0,39.72
18,0.99,41.67
19,0.98,36.32
20,1.14,37.84
21,1.09,37.92
22,1.06,39.79
23,1.03,41.75
24,1.02,43.03
25,1.0,42.51
26,0.98,43.49
27,0.97,43.98
28,0.95,44.26
29,0.94,42.23
30,1.05,41.7
31,1.02,41.19
32,1.0,42.69
33,0.99,43.38
34,0.97,42.19
35,0.95,44.46
36,0.94,44.83
37,0.93,45.1
38,0.92,44.54
39,0.91,45.23
40,1.01,42.34
41,0.99,43.57
42,0.97,44.03
43,0.96,44.14
44,0.94,44.53
45,0.93,45.42
46,0.92,45.35
47,0.91,45.87
48,0.9,45.33
49,0.89,46.76
50,0.98,44.57
51,0.96,44.21
52,0.95,42.58
53,0.93,46.4
54,0.92,46.38
55,0.91,44.6
56,0.9,46.89
57,0.89,45.76
58,0.88,46.33
59,0.87,48.01
60,0.95,46.22
61,0.93,46.71
62,0.92,45.72
63,0.91,46.92
64,0.9,47.28
65,0.89,47.71
66,0.88,47.48
67,0.87,47.63
68,0.87,47.47
69,0.86,49.23
70,0.93,47.12
71,0.92,47.5
72,0.9,48.06
73,0.89,47.01
74,0.88,48.66
75,0.87,49.26
76,0.87,49.29
77,0.86,48.84
78,0.85,48.93
79,0.84,49.96
80,0.92,48.42
81,0.9,48.35
82,0.89,49.11
83,0.88,48.94
84,0.86,49.58
85,0.86,50.22
86,0.85,49.68
87,0.84,49.23
88,0.83,49.88
89,0.83,50.9
90,0.9,49.11
91,0.88,48.39
92,0.87,48.68
93,0.86,50.02
94,0.85,50.17
95,0.85,50.17
96,0.84,50.16
97,0.83,50.79
98,0.82,50.13
99,0.81,51.53
100,0.89,50.36
101,0.87,49.75
102,0.86,48.39
103,0.85,50.05
104,0.84,50.46
105,0.83,50.1
106,0.82,49.54
107,0.82,49.89
108,0.81,50.93
109,0.8,52.21
110,0.88,51.56
111,0.86,51.08
112,0.85,50.97
113,0.84,52.19
114,0.83,49.9
115,0.82,50.44
116,0.81,50.2
117,0.81,51.34
118,0.8,51.04
119,0.79,52.24
120,0.87,50.95
121,0.86,50.75
122,0.84,51.08
123,0.83,50.84
124,0.82,51.14
125,0.81,50.59
126,0.81,51.01
127,0.8,52.0
128,0.79,51.93
129,0.78,52.84
130,0.87,51.74
131,0.85,51.45
132,0.84,51.74
133,0.83,50.54
134,0.82,51.47
135,0.8,51.54
136,0.8,51.35
137,0.79,52.43
138,0.78,52.22
139,0.78,52.97
140,0.86,51.55
141,0.84,52.1
142,0.83,51.39
143,0.82,51.42
144,0.81,51.35
145,0.8,51.38
146,0.79,52.36
147,0.78,51.93
148,0.77,51.64
149,0.77,53.4
150,0.86,51.96
151,0.84,51.73
152,0.82,51.29
153,0.81,52.1
154,0.8,52.32
155,0.79,52.03
156,0.78,51.24
157,0.78,52.35
158,0.77,52.19
159,0.76,53.64
160,0.85,51.42
161,0.83,52.68
162,0.82,51.97
163,0.8,52.63
164,0.79,52.09
165,0.79,52.66
166,0.77,51.41
167,0.77,53.25
168,0.76,52.01
169,0.76,54.04
170,0.85,52.21
171,0.82,51.98
172,0.81,53.12
173,0.8,52.61
174,0.79,53.07
175,0.78,52.54
176,0.77,52.68
177,0.77,52.86
178,0.76,53.03
179,0.75,53.97
180,0.84,52.12
181,0.82,52.26
182,0.81,53.17
183,0.8,53.11
184,0.78,52.64
185,0.77,52.52
186,0.77,53.29
187,0.76,52.96
188,0.76,52.68
189,0.74,54.03
190,0.85,52.54
191,0.82,52.4
192,0.8,53.23
193,0.79,52.94
194,0.78,52.61
195,0.77,53.48
196,0.76,52.66
197,0.76,53.48
198,0.75,53.25
199,0.74,54.33
