Round,Train Loss,Accuracy
0,1.4,13.24
1,1.0,14.82
2,0.82,12.11
3,0.78,14.11
4,0.76,18.32
5,0.71,23.3
6,0.69,26.29
7,0.65,26.68
8,0.64,28.43
9,0.61,28.97
10,0.6,30.06
11,0.59,31.8
12,0.59,31.39
13,0.57,31.48
14,0.56,32.23
15,0.57,33.4
16,0.54,33.15
17,0.54,33.75
18,0.54,33.84
19,0.53,34.63
20,0.52,34.51
21,0.53,34.88
22,0.52,34.86
23,0.51,35.51
24,0.51,35.68
25,0.51,35.47
26,0.49,35.71
27,0.49,36.81
28,0.49,36.42
29,0.49,36.78
30,0.49,36.74
31,0.46,36.88
32,0.48,37.56
33,0.46,37.31
34,0.47,37.2
35,0.46,37.53
36,0.46,37.88
37,0.46,37.56
38,0.45,37.69
39,0.45,38.94
40,0.45,37.87
41,0.44,38.33
42,0.45,38.14
43,0.44,38.24
44,0.43,38.26
45,0.44,38.51
46,0.43,38.88
47,0.44,38.81
48,0.42,38.59
49,0.43,41.36
50,0.43,38.97
51,0.42,39.07
52,0.42,39.28
53,0.43,39.35
54,0.42,39.52
55,0.41,39.41
56,0.41,39.27
57,0.41,39.64
58,0.41,39.67
59,0.4,42.48
60,0.41,39.96
61,0.4,39.6
62,0.4,40.35
63,0.39,40.07
64,0.39,40.11
65,0.39,39.69
66,0.39,39.84
67,0.39,40.48
68,0.38,40.28
69,0.39,42.23
70,0.37,40.59
71,0.39,40.87
72,0.38,40.43
73,0.38,40.33
74,0.37,40.79
75,0.37,40.71
76,0.38,40.68
77,0.37,40.57
78,0.37,41.01
79,0.37,42.93
80,0.37,40.51
81,0.36,40.54
82,0.36,40.7
83,0.36,40.54
84,0.37,40.23
85,0.36,40.35
86,0.36,40.69
87,0.35,40.67
88,0.35,40.51
89,0.35,42.69
90,0.36,40.76
91,0.34,40.21
92,0.35,40.31
93,0.35,40.52
94,0.35,40.05
95,0.35,40.42
96,0.35,40.46
97,0.34,40.31
98,0.33,40.33
99,0.34,43.33
100,0.33,40.35
101,0.33,40.26
102,0.33,40.31
103,0.34,40.37
104,0.34,40.09
105,0.34,40.54
106,0.32,40.51
107,0.33,40.15
108,0.32,39.88
109,0.33,43.09
110,0.33,40.13
111,0.33,40.4
112,0.32,40.27
113,0.32,40.05
114,0.31,39.85
115,0.31,40.23
116,0.31,40.24
117,0.31,39.97
118,0.32,39.96
119,0.3,43.2
120,0.31,40.17
121,0.3,39.98
122,0.3,40.34
123,0.31,40.26
124,0.3,40.36
125,0.3,39.92
126,0.3,40.28
127,0.3,40.0
128,0.3,39.85
129,0.29,43.12
130,0.29,39.88
131,0.29,40.23
132,0.29,40.06
133,0.29,40.04
134,0.29,39.58
135,0.29,40.07
136,0.29,40.02
137,0.28,40.13
138,0.29,40.1
139,0.29,42.87
140,0.28,40.01
141,0.29,39.87
142,0.28,39.76
143,0.28,39.42
144,0.28,39.9
145,0.28,40.06
146,0.27,39.85
147,0.27,39.79
148,0.27,40.0
149,0.27,42.64
150,0.27,39.49
151,0.28,39.8
152,0.26,39.95
153,0.28,39.56
154,0.26,39.59
155,0.28,39.79
156,0.27,39.62
157,0.27,39.5
158,0.27,39.42
159,0.27,42.17
160,0.25,39.69
161,0.28,39.21
162,0.26,39.23
163,0.26,39.54
164,0.27,39.55
165,0.28,39.41
166,0.25,39.54
167,0.25,39.6
168,0.25,39.44
169,0.25,41.74
170,0.27,39.53
171,0.26,39.55
172,0.25,39.81
173,0.25,39.28
174,0.26,39.52
175,0.25,39.28
176,0.25,39.52
177,0.25,39.63
178,0.24,39.65
179,0.24,41.75
180,0.24,39.51
181,0.24,39.24
182,0.25,39.13
183,0.25,39.16
184,0.24,39.1
185,0.24,39.12
186,0.24,39.17
187,0.24,39.17
188,0.24,39.31
189,0.23,41.69
190,0.24,39.31
191,0.24,39.37
192,0.24,39.34
193,0.23,39.16
194,0.24,39.14
195,0.24,39.05
196,0.24,39.13
197,0.23,39.04
198,0.25,38.9
199,0.23,41.5
