Round,Train Loss,Accuracy
0,1.09,10.04
1,0.76,10.51
2,0.7,15.48
3,0.66,18.47
4,0.63,19.91
5,0.61,20.82
6,0.59,21.63
7,0.58,22.58
8,0.56,23.54
9,0.55,25.63
10,0.54,25.91
11,0.53,26.79
12,0.53,28.02
13,0.51,28.37
14,0.5,29.05
15,0.49,28.49
16,0.49,30.63
17,0.48,30.62
18,0.48,31.35
19,0.47,31.64
20,0.46,32.96
21,0.46,33.04
22,0.46,33.4
23,0.45,33.64
24,0.45,34.79
25,0.45,35.25
26,0.44,34.5
27,0.44,34.45
28,0.44,34.55
29,0.43,14.62
30,0.59,24.74
31,0.53,26.49
32,0.51,28.96
33,0.49,29.12
34,0.49,30.53
35,0.48,30.94
36,0.47,31.74
37,0.47,32.31
38,0.46,32.87
39,0.46,32.56
40,0.45,33.67
41,0.45,33.64
42,0.45,33.93
43,0.44,34.71
44,0.44,34.68
45,0.44,35.54
46,0.44,34.67
47,0.44,35.78
48,0.44,36.47
49,0.43,36.62
50,0.42,36.94
51,0.42,37.75
52,0.42,37.11
53,0.41,36.49
54,0.41,37.82
55,0.41,37.28
56,0.41,36.86
57,0.41,39.01
58,0.4,37.56
59,0.4,40.47
60,0.45,34.98
61,0.44,36.58
62,0.44,35.82
63,0.43,35.87
64,0.43,37.9
65,0.43,37.26
66,0.42,37.69
67,0.42,37.96
68,0.42,37.36
69,0.42,38.47
70,0.41,39.22
71,0.41,39.27
72,0.4,39.4
73,0.4,40.1
74,0.4,40.59
75,0.39,39.28
76,0.39,41.1
77,0.39,39.65
78,0.38,40.16
79,0.38,41.92
80,0.38,40.25
81,0.38,40.21
82,0.37,40.28
83,0.37,41.53
84,0.36,40.59
85,0.37,41.24
86,0.37,41.73
87,0.36,41.64
88,0.36,41.26
89,0.35,44.52
90,0.42,39.2
91,0.41,38.67
92,0.4,39.43
93,0.4,39.67
94,0.4,40.16
95,0.39,40.12
96,0.39,41.19
97,0.39,41.47
98,0.38,40.79
99,0.38,40.59
100,0.37,41.87
101,0.37,41.8
102,0.36,42.21
103,0.36,42.07
104,0.36,41.73
105,0.36,42.66
106,0.35,42.19
107,0.35,42.28
108,0.35,43.03
109,0.35,42.81
110,0.34,42.79
111,0.34,43.44
112,0.34,43.23
113,0.34,43.36
114,0.33,43.37
115,0.33,43.82
116,0.33,43.55
117,0.33,44.12
118,0.33,43.79
119,0.32,46.02
120,0.39,41.14
121,0.38,42.52
122,0.37,42.74
123,0.37,42.67
124,0.36,43.05
125,0.37,43.22
126,0.36,43.38
127,0.35,43.34
128,0.35,43.95
129,0.35,43.68
130,0.34,42.95
131,0.34,43.71
132,0.34,43.82
133,0.33,44.56
134,0.33,43.69
135,0.33,44.3
136,0.33,44.45
137,0.33,44.39
138,0.33,44.37
139,0.32,44.61
140,0.32,44.37
141,0.32,44.38
142,0.31,44.27
143,0.31,44.18
144,0.31,44.37
145,0.31,44.46
146,0.31,44.66
147,0.3,44.96
148,0.3,44.48
149,0.3,47.19
150,0.37,43.33
151,0.36,43.86
152,0.36,43.14
153,0.35,43.29
154,0.35,44.82
155,0.34,44.33
156,0.34,44.65
157,0.34,44.19
158,0.33,44.17
159,0.33,45.03
160,0.32,44.73
161,0.32,44.99
162,0.32,45.63
163,0.32,44.32
164,0.31,44.98
165,0.31,44.64
166,0.31,45.28
167,0.31,45.71
168,0.3,45.25
169,0.3,44.86
170,0.3,44.3
171,0.29,44.44
172,0.29,45.67
173,0.29,44.83
174,0.29,45.77
175,0.28,45.65
176,0.28,45.65
177,0.28,45.18
178,0.28,45.43
179,0.27,47.75
180,0.36,43.73
181,0.35,44.97
182,0.34,43.95
183,0.34,44.93
184,0.33,44.35
185,0.33,44.04
186,0.32,44.29
187,0.32,44.32
188,0.32,45.47
189,0.31,44.58
190,0.3,45.22
191,0.3,45.54
192,0.3,45.7
193,0.3,45.21
194,0.29,44.93
195,0.29,45.03
196,0.29,45.15
197,0.29,46.07
198,0.28,45.58
199,0.28,45.61
