Round,Train Loss,Accuracy
0,1.37,11.1
1,1.06,14.53
2,0.94,18.06
3,0.89,19.82
4,0.86,21.27
5,0.82,22.88
6,0.81,25.12
7,0.8,26.49
8,0.76,28.59
9,0.75,29.86
10,0.73,31.02
11,0.71,32.17
12,0.71,33.89
13,0.7,34.96
14,0.7,35.74
15,0.68,35.61
16,0.68,37.14
17,0.68,37.65
18,0.66,37.7
19,0.65,38.51
20,0.64,39.07
21,0.64,39.41
22,0.64,39.57
23,0.63,40.01
24,0.61,40.48
25,0.61,40.67
26,0.62,41.12
27,0.62,41.44
28,0.6,41.77
29,0.6,41.96
30,0.61,42.16
31,0.61,41.95
32,0.6,42.14
33,0.6,42.2
34,0.6,41.88
35,0.58,42.37
36,0.59,42.82
37,0.59,42.99
38,0.58,43.56
39,0.58,43.53
40,0.57,43.56
41,0.57,43.84
42,0.57,44.19
43,0.57,43.97
44,0.58,43.9
45,0.55,44.52
46,0.56,44.74
47,0.55,45.24
48,0.56,44.6
49,0.56,44.95
50,0.55,45.24
51,0.54,45.28
52,0.55,45.45
53,0.54,45.51
54,0.54,45.34
55,0.54,45.47
56,0.54,45.47
57,0.53,45.4
58,0.53,45.77
59,0.53,45.87
60,0.54,45.93
61,0.54,46.22
62,0.53,46.13
63,0.52,46.08
64,0.52,46.3
65,0.52,46.34
66,0.52,46.51
67,0.51,46.55
68,0.51,46.57
69,0.51,46.48
70,0.52,46.74
71,0.51,46.83
72,0.51,46.58
73,0.51,46.94
74,0.52,47.25
75,0.51,47.3
76,0.5,47.43
77,0.52,47.46
78,0.51,47.31
79,0.5,47.47
80,0.51,47.67
81,0.5,47.52
82,0.49,47.62
83,0.5,47.79
84,0.49,47.71
85,0.5,47.98
86,0.48,47.8
87,0.49,47.79
88,0.49,47.89
89,0.49,47.76
90,0.48,48.06
91,0.49,47.95
92,0.48,48.26
93,0.49,48.21
94,0.49,47.94
95,0.48,48.16
96,0.48,48.36
97,0.48,48.23
98,0.48,48.11
99,0.48,48.2
100,0.48,48.73
101,0.47,48.42
102,0.47,48.49
103,0.47,48.46
104,0.46,48.5
105,0.47,48.53
106,0.47,48.25
107,0.47,48.14
108,0.47,48.48
109,0.46,48.56
110,0.46,48.59
111,0.47,48.36
112,0.46,48.21
113,0.46,48.64
114,0.46,48.67
115,0.46,48.81
116,0.46,48.5
117,0.45,48.52
118,0.45,48.72
119,0.45,48.6
120,0.45,48.73
121,0.46,48.67
122,0.45,48.65
123,0.46,48.74
124,0.45,48.76
125,0.45,48.73
126,0.45,48.66
127,0.44,48.58
128,0.44,48.67
129,0.45,48.61
130,0.46,48.58
131,0.44,48.57
132,0.43,48.67
133,0.44,48.62
134,0.44,48.91
135,0.44,48.59
136,0.44,48.75
137,0.44,48.49
138,0.44,48.73
139,0.44,48.59
140,0.43,48.78
141,0.42,48.69
142,0.42,48.54
143,0.42,48.69
144,0.43,48.7
145,0.42,48.86
146,0.44,48.74
147,0.43,48.74
148,0.44,48.69
149,0.42,48.79
150,0.43,48.69
151,0.41,48.69
152,0.43,49.01
153,0.43,48.78
154,0.42,48.84
155,0.42,49.06
156,0.43,48.65
157,0.42,48.67
158,0.42,48.84
159,0.42,48.38
160,0.42,48.7
161,0.42,48.83
162,0.41,49.03
163,0.41,48.94
164,0.42,48.74
165,0.41,48.63
166,0.41,48.89
167,0.42,49.05
168,0.41,48.76
169,0.4,49.11
170,0.41,48.93
171,0.4,48.91
172,0.41,48.94
173,0.41,49.05
174,0.4,48.99
175,0.4,48.83
176,0.41,48.86
177,0.4,49.13
178,0.39,49.1
179,0.4,48.75
180,0.41,48.81
181,0.4,48.74
182,0.4,48.95
183,0.39,48.93
184,0.39,48.48
185,0.39,48.88
186,0.41,49.02
187,0.4,48.86
188,0.4,48.95
189,0.39,48.76
190,0.39,48.73
191,0.39,49.05
192,0.39,48.89
193,0.39,48.97
194,0.39,48.96
195,0.39,48.86
196,0.39,48.57
197,0.39,48.8
198,0.38,48.62
199,0.38,49.14
