Round,Train Loss,Accuracy
0,1.32,10.73
1,1.0,16.33
2,0.9,20.87
3,0.84,23.54
4,0.8,27.69
5,0.76,29.18
6,0.74,31.66
7,0.72,32.47
8,0.71,34.09
9,0.7,33.82
10,0.69,34.71
11,0.67,35.92
12,0.67,36.52
13,0.65,37.21
14,0.65,38.37
15,0.64,38.97
16,0.64,40.08
17,0.63,40.44
18,0.63,40.52
19,0.62,41.14
20,0.61,40.96
21,0.61,41.15
22,0.61,42.39
23,0.61,42.54
24,0.6,42.56
25,0.6,42.83
26,0.6,42.88
27,0.59,43.2
28,0.59,43.04
29,0.58,43.3
30,0.58,43.7
31,0.58,43.63
32,0.58,43.61
33,0.57,43.7
34,0.57,43.89
35,0.57,44.03
36,0.57,44.08
37,0.57,43.92
38,0.56,44.29
39,0.57,44.53
40,0.56,44.38
41,0.56,44.45
42,0.55,44.62
43,0.55,44.69
44,0.55,44.75
45,0.55,45.1
46,0.55,45.14
47,0.54,45.41
48,0.54,45.39
49,0.54,45.42
50,0.54,45.57
51,0.54,45.68
52,0.54,45.64
53,0.53,45.77
54,0.53,45.59
55,0.53,45.79
56,0.53,46.11
57,0.53,46.28
58,0.53,46.08
59,0.53,45.99
60,0.52,46.3
61,0.52,45.93
62,0.52,46.49
63,0.52,46.56
64,0.52,46.34
65,0.52,46.43
66,0.51,46.63
67,0.51,46.7
68,0.51,46.67
69,0.51,46.69
70,0.51,46.78
71,0.51,46.47
72,0.51,46.79
73,0.51,46.81
74,0.5,46.91
75,0.5,46.93
76,0.51,47.19
77,0.5,47.06
78,0.5,47.07
79,0.5,46.66
80,0.5,47.43
81,0.5,46.95
82,0.5,47.25
83,0.49,47.83
84,0.49,47.51
85,0.49,47.74
86,0.48,47.2
87,0.48,47.5
88,0.48,47.35
89,0.48,47.67
90,0.48,47.59
91,0.48,47.87
92,0.48,47.78
93,0.48,47.64
94,0.48,47.78
95,0.48,48.09
96,0.47,47.75
97,0.47,48.01
98,0.47,48.05
99,0.47,47.82
100,0.47,48.03
101,0.47,47.87
102,0.47,48.21
103,0.46,48.25
104,0.47,48.16
105,0.46,48.2
106,0.46,48.54
107,0.46,48.68
108,0.47,48.17
109,0.46,48.17
110,0.46,48.3
111,0.46,48.5
112,0.46,48.68
113,0.45,48.71
114,0.46,48.5
115,0.45,48.4
116,0.45,48.45
117,0.45,48.8
118,0.47,48.78
119,0.45,48.77
120,0.45,48.59
121,0.45,48.65
122,0.45,48.64
123,0.45,48.61
124,0.44,48.55
125,0.45,48.64
126,0.45,48.6
127,0.45,48.57
128,0.45,48.22
129,0.44,48.44
130,0.45,48.56
131,0.44,48.61
132,0.44,48.63
133,0.44,48.65
134,0.44,48.85
135,0.43,48.83
136,0.45,48.63
137,0.44,49.23
138,0.44,48.98
139,0.43,48.85
140,0.43,48.92
141,0.43,49.09
142,0.43,49.23
143,0.43,48.98
144,0.44,48.98
145,0.43,48.95
146,0.43,49.08
147,0.43,48.87
148,0.43,48.86
149,0.43,48.94
150,0.43,49.05
151,0.43,49.03
152,0.42,48.89
153,0.43,49.11
154,0.42,49.05
155,0.42,49.24
156,0.42,48.94
157,0.42,49.14
158,0.42,49.06
159,0.42,48.82
160,0.42,49.13
161,0.42,49.4
162,0.42,49.13
163,0.42,49.06
164,0.42,49.08
165,0.42,49.31
166,0.41,49.27
167,0.42,49.29
168,0.42,49.66
169,0.43,49.37
170,0.41,49.13
171,0.42,49.5
172,0.42,49.06
173,0.42,49.34
174,0.41,49.38
175,0.41,49.31
176,0.41,49.19
177,0.41,49.46
178,0.41,49.32
179,0.41,48.99
180,0.41,49.29
181,0.41,49.19
182,0.41,49.26
183,0.41,49.37
184,0.41,49.36
185,0.41,49.04
186,0.4,49.3
187,0.4,49.52
188,0.41,49.24
189,0.41,49.31
190,0.4,49.2
191,0.41,49.18
192,0.4,49.57
193,0.4,49.43
194,0.41,49.37
195,0.4,49.43
196,0.41,49.07
197,0.4,49.31
198,0.4,49.56
199,0.41,49.49
